Crop,Weed Type,Scientific Name,Common Name
Corn,Broadleaf,Amaranthus retroflexus,Redroot Pigweed
Corn,Broadleaf,A. hybridus,Smooth Pigweed
Corn,Broadleaf,A. blitoides,Prostrate Pigweed
Corn,Broadleaf,A. albus,Tumble Pigweed
Corn,Broadleaf,Chenopodium album,Lamb's Quarters
Corn,Broadleaf,Chenopodium polyspermun,Many-seeded Goosefoot
Corn,Broadleaf,Chenopodium hybridum,Maple-leaved Goosefoot
Corn,Broadleaf,Erigeron canadensis,Canadian Horseweed
Corn,Broadleaf,Datura stramonium,Jimsonweed
Corn,Broadleaf,Solanum nigrum,Black Nightshade
Corn,Broadleaf,Abutilon theophrasti,Velvetleaf
Corn,Broadleaf,Ambrosia artemisiifolia,Common Ragweed
Corn,Broadleaf,Atriplex patula,Common Orache
Corn,Broadleaf,Sinapis arvensis,Wild Mustard
Corn,Broadleaf,Brassica nigra,Black Mustard
Corn,Broadleaf,Xanthium strumarium,Common Cocklebur
Corn,Broadleaf,Polygonum lapathifolium,Pale Persicaria
Corn,Broadleaf,Euphorbia sp.,Spurge
Corn,Broadleaf,Portulaca oleracea,Common Purslane
Corn,Broadleaf,Iva xanthifolia,Burweed Marsh Elder
Corn,Broadleaf,Sonchus oleraceus,Common Sowthistle
Corn,Broadleaf,Hibiscus trionum,Bladder Ketmia
Corn,Broadleaf,Cirsium arvense,Canada Thistle
Corn,Broadleaf,Sonchus arvensis,Perennial Sowthistle
Corn,Broadleaf,Convolvulus arvensis,Field Bindweed
Corn,Broadleaf,Rubus caesius,Dewberry
Corn,Broadleaf,Rumex crispus,Curly Dock
Corn,Broadleaf,Mentha arvensis,Wild Mint
Corn,Broadleaf,Helianthus tuberosus,Jerusalem Artichoke
Corn,Grass,Consolida regalis,Larkspur
Corn,Grass,Avena fatua,Wild Oat
Wheat,Grass,Poligonum aviculare,Knotweed
Wheat,Grass,A. ludoviciana,Winter Wild Oat
Wheat,Grass,Melilotus officinalis,Sweet Clover
Wheat,Grass,Apera spica-venti,Loose Silky-bent
Wheat,Grass,Chenopodium album,Common Lambsquarters
Wheat,Grass,Dactilis glomerata,Orchard Grass
Wheat,Grass,Galium aparine,Cleavers
Wheat,Grass,Bromus arvensis,Field Brome
Wheat,Grass,Melampirum arvense,Corn Speedwell
Wheat,Grass,Hordeum murinum,Wall Barley
Wheat,Grass,Papaver rhoeas,Poppy
Wheat,Grass,Agropyrum repens,Couch Grass
Wheat,Grass,Bilderdykia convolvulus,Bindweed
Wheat,Grass,Cynodon dactylon,Bermuda Grass
Wheat,Grass,Lamium purpureum,Red Dead-nettle
Wheat,Grass,Poa pratensis,Kentucky Bluegrass
Wheat,Grass,Veronica hederifolia,Ivy-leaved Speedwell
Wheat,Grass,P. trivialis,Rough Bluegrass
